Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer State,Customer City,Customer Zip Code,Order ID
Lemonade,Pepsi,Soft Drink,147,3130,2749,381,10/22/2020,Emily Arnold,Idaho,Port Katherineport,96756,1-9799-6416-5
Beer,Dr. Pepper,Alcoholic,846,3104,1594,1510,7/29/2021,Valerie Sweeney,Colorado,New Anthonymouth,44965,1-4592-1480-3
Coffee,Pepsi,Coffee,315,8884,2069,6815,3/22/2021,Miss Kimberly Bell,Maine,New Troyberg,43435,1-70203-836-X
Coffee,Dr. Pepper,Coffee,566,2221,7529,-5308,9/13/2022,Justin Jimenez,Wyoming,Coxville,2813,1-4023-8634-6
Herbal Tea,Coca-Cola,Tea,329,1619,4581,-2962,1/4/2021,Jose Watson,Indiana,Taylorside,57574,0-289-65753-9
Green Tea,Pepsi,Tea,367,6592,7478,-886,9/16/2020,Kimberly Bauer,Arizona,Allenburgh,1879,1-338-18183-1
Coffee,Dr. Pepper,Coffee,426,8283,5180,3103,9/23/2022,Evan Torres,Pennsylvania,West Haleystad,89455,0-503-39889-6
Black Tea,Pepsi,Tea,1000,2551,4498,-1947,1/25/2022,Miss Shelley Hall,North Dakota,Port Carolyn,30032,0-13-309344-1
Beer,Coca-Cola,Alcoholic,307,3271,7297,-4026,2/19/2023,Robert Rhodes,Montana,Lake Michaelhaven,35420,0-241-58177-X
Energy Drink,Pepsi,Soft Drink,243,6729,2992,3737,4/24/2020,Debra Mcbride,New Jersey,Montgomeryside,61846,1-4652-5773-X
Green Tea,Pepsi,Tea,368,2497,2357,140,12/25/2021,Melissa Carter,Arizona,New Darlene,97622,0-8015-4419-X
Coffee,Pepsi,Coffee,386,4250,2611,1639,12/12/2021,William Thompson,Louisiana,Erinburgh,72042,0-409-79261-6
Coffee,Pepsi,Coffee,779,6777,3194,3583,7/29/2020,Richard Simpson,Tennessee,New Marioburgh,46629,0-8326-2332-6
Cola,Coca-Cola,Soft Drink,391,3109,7183,-4074,6/13/2022,Dr. Wendy Foley,Maryland,East Jocelynhaven,49893,0-9545331-2-7
Green Tea,Dr. Pepper,Tea,434,6022,881,5141,3/3/2021,Mallory Curtis,California,West Anthony,70379,1-4124-0125-9
Wine,Coca-Cola,Alcoholic,945,2082,2786,-704,9/9/2020,Willie Jones,Colorado,Nancyland,38969,0-633-99721-8
Wine,Dr. Pepper,Alcoholic,513,3740,2642,1098,3/3/2020,Jeffrey Odonnell,Louisiana,Ramirezburgh,37875,0-513-00959-0
Lemonade,Coca-Cola,Soft Drink,133,2066,4850,-2784,4/21/2023,Lynn Jones,Connecticut,Noahmouth,87107,0-8113-5464-4
Lemonade,Coca-Cola,Soft Drink,129,5840,2713,3127,12/1/2021,Alexis Anderson,New York,South Robert,15412,0-7040-6207-0
Beer,Coca-Cola,Alcoholic,154,7924,4720,3204,8/30/2022,Daniel Perez,Illinois,New Brittanyhaven,23229,1-224-13191-6
Black Tea,Dr. Pepper,Tea,984,6774,7826,-1052,8/17/2022,Meghan Chavez,Nebraska,New Chrismouth,88285,0-7650-5690-9
Cola,Dr. Pepper,Soft Drink,493,6791,2222,4569,1/28/2021,Jaime Lopez,Arizona,North Melissa,2584,1-75651-593-X
Herbal Tea,Coca-Cola,Tea,769,7295,1079,6216,6/1/2020,Benjamin Gomez,Rhode Island,Jensenmouth,72294,0-345-16320-6
Green Tea,Coca-Cola,Tea,971,9822,3277,6545,1/15/2023,Diana Rivera,Tennessee,Brownburgh,66280,0-632-54010-9
Vodka,Dr. Pepper,Alcoholic,789,1813,4560,-2747,8/2/2021,Lauren Mooney,Arizona,Lake Kristiebury,38794,0-268-69991-7
Vodka,Dr. Pepper,Alcoholic,784,6037,6886,-849,2/16/2021,Michael Bennett,Georgia,Lake Rogermouth,6108,0-8225-0758-7
Green Tea,Pepsi,Tea,614,5497,7446,-1949,2/7/2020,David Nelson,New Jersey,Margaretmouth,75932,1-75607-032-6
Wine,Coca-Cola,Alcoholic,702,9307,7952,1355,2/26/2022,James Ferguson,Arkansas,East Traviston,4719,1-56451-337-8
Black Tea,Dr. Pepper,Tea,322,6088,1428,4660,4/10/2021,Caroline Williams,Florida,Karenhaven,57103,1-81899-705-3
Black Tea,Coca-Cola,Tea,386,8954,4345,4609,3/21/2022,Christopher Hardy,Rhode Island,South Peggy,32558,1-5038-5158-3
Black Tea,Dr. Pepper,Tea,129,7545,5125,2420,9/4/2020,William Coffey,Kentucky,New Shawn,81649,1-367-47292-X
Black Tea,Coca-Cola,Tea,438,4131,6023,-1892,4/26/2021,Ronald Reed,Rhode Island,Lake Christopher,98508,0-488-25714-X
Beer,Dr. Pepper,Alcoholic,979,5417,3853,1564,12/22/2020,Erin Mathews,Texas,South Lori,10369,1-894802-36-5
Black Tea,Pepsi,Tea,120,2007,1552,455,5/23/2020,Jaime Knight,Maine,South Janetport,4055,1-07-701534-8
Green Tea,Pepsi,Tea,299,2200,6299,-4099,12/14/2021,Ann Carroll,Hawaii,Smithchester,86390,1-85278-672-8
Wine,Dr. Pepper,Alcoholic,922,7431,5346,2085,10/20/2020,Elizabeth Williams,California,New Erikaland,38183,0-338-34938-3
Coffee,Dr. Pepper,Coffee,179,8551,2461,6090,10/28/2020,Sheila Walters,Kansas,Danielfort,4509,0-489-16995-3
Vodka,Dr. Pepper,Alcoholic,710,6769,7179,-410,12/31/2021,Kristin Ray,Utah,Romeroborough,97688,0-300-54469-3
Coffee,Coca-Cola,Coffee,842,9480,3203,6277,3/15/2021,John Larson,Iowa,South Hannah,83629,1-360-47620-2
Energy Drink,Pepsi,Soft Drink,310,7897,5676,2221,10/25/2022,Elizabeth Swanson,Kentucky,Lake Veronicachester,30230,0-352-12120-3
Black Tea,Coca-Cola,Tea,931,9699,1424,8275,6/30/2023,Sheri Evans,Georgia,Jamietown,70683,1-80512-020-4
Coffee,Pepsi,Coffee,346,4833,7053,-2220,4/14/2023,Sheena Young,Texas,Alisontown,59383,0-576-53586-9
Coffee,Dr. Pepper,Coffee,557,5692,4048,1644,3/28/2020,Christy Herring,Illinois,Port Sharonmouth,33477,0-414-02183-5
Beer,Dr. Pepper,Alcoholic,635,3434,866,2568,2/26/2023,Timothy Howard,Iowa,Caldwellbury,82006,1-358-79860-5
Herbal Tea,Coca-Cola,Tea,983,8032,3096,4936,5/13/2020,Theresa Navarro,Idaho,New Nathanhaven,29655,0-87772-341-9
Lemonade,Pepsi,Soft Drink,110,1684,6840,-5156,9/12/2021,Joshua Russell,Pennsylvania,Gabrielmouth,54785,1-4614-4802-6
Green Tea,Dr. Pepper,Tea,159,4639,4404,235,10/10/2022,Caroline Ramirez,Louisiana,Russellstad,46225,1-75801-942-5
Coffee,Dr. Pepper,Coffee,709,1217,4119,-2902,1/22/2022,Catherine Mcknight,New Mexico,Kennethtown,98106,0-522-74876-7
Beer,Dr. Pepper,Alcoholic,635,9605,6466,3139,7/26/2023,Mary Harris,Minnesota,Port Matthew,92954,0-266-35887-X
Energy Drink,Dr. Pepper,Soft Drink,467,2074,2387,-313,2/1/2020,Kevin Perez,Wyoming,South Elizabeth,41384,0-906539-04-8
Cola,Pepsi,Soft Drink,144,7832,1824,6008,1/12/2023,Chelsea Mcdonald,Oregon,Wilsontown,31830,1-68198-221-8
Green Tea,Pepsi,Tea,431,6626,7793,-1167,5/23/2023,Brian Fernandez,Missouri,Amberhaven,85933,1-55537-727-0
Wine,Coca-Cola,Alcoholic,210,2315,2465,-150,1/19/2023,Richard Bryan,Wyoming,Santanamouth,79954,0-644-01892-5
Wine,Dr. Pepper,Alcoholic,115,5751,1381,4370,1/26/2021,Russell Olson,Connecticut,South Dakota,62998,0-290-23134-5
Green Tea,Pepsi,Tea,581,2419,3880,-1461,7/13/2021,Levi Jones,New Hampshire,Barberburgh,94914,1-241-20051-3
Green Tea,Pepsi,Tea,949,1936,4353,-2417,2/4/2022,Rebecca Johnson,Missouri,Fordfort,65499,1-01-539518-X
Coffee,Coca-Cola,Coffee,141,2985,1008,1977,2/22/2020,John Barron,Nebraska,Matthewville,99837,0-669-27687-1
Energy Drink,Pepsi,Soft Drink,753,1570,6854,-5284,2/5/2022,Shirley Harris,South Carolina,Lake Meghan,38655,0-345-44007-2
Lemonade,Coca-Cola,Soft Drink,351,7249,4564,2685,9/27/2020,Julie Abbott,West Virginia,Lake Michaelton,58215,1-4947-0573-7
Lemonade,Pepsi,Soft Drink,835,1491,4183,-2692,5/17/2022,William Jackson,Louisiana,West Stephaniefort,72848,1-187-75711-X
Black Tea,Dr. Pepper,Tea,992,9502,4972,4530,2/21/2021,Derrick Juarez,California,South Kennethstad,99178,1-9796-5962-1
Green Tea,Dr. Pepper,Tea,620,6656,3189,3467,8/14/2022,Joshua Davis,South Dakota,East Elizabeth,6123,1-04-963374-1
Vodka,Dr. Pepper,Alcoholic,557,8066,2813,5253,12/23/2020,Adam Pearson,Louisiana,West Henry,5171,0-287-21848-1
Herbal Tea,Dr. Pepper,Tea,566,5231,5697,-466,9/28/2022,Justin Skinner,Illinois,Katrinaton,7429,1-07-764240-7
Coffee,Dr. Pepper,Coffee,804,6891,7284,-393,6/7/2023,Robert Elliott,South Carolina,Jonesmouth,1796,0-639-13715-6
Vodka,Pepsi,Alcoholic,851,7613,6839,774,2/2/2020,Richard Donaldson,Arizona,Pricetown,66075,1-82308-117-7
Green Tea,Dr. Pepper,Tea,502,6365,7156,-791,8/11/2021,David Bond,Massachusetts,Jonesberg,87869,0-8037-6739-0
Cola,Dr. Pepper,Soft Drink,996,9984,7620,2364,6/25/2020,Brian White,Arkansas,West Terri,70468,0-944901-55-7
Black Tea,Pepsi,Tea,496,2144,4347,-2203,1/22/2020,Debra Thompson,Alaska,Robertmouth,32535,1-06-394958-0
Beer,Coca-Cola,Alcoholic,994,8872,5988,2884,4/3/2021,Joshua Brown,Florida,Markview,75840,1-86769-029-2
Wine,Pepsi,Alcoholic,599,5241,4132,1109,7/27/2023,Bethany Jones,Missouri,Brooksport,73066,1-994128-76-3
Wine,Dr. Pepper,Alcoholic,598,2281,2588,-307,10/26/2022,Michael Lee,Nebraska,West Mariabury,5114,1-871365-96-1
Vodka,Coca-Cola,Alcoholic,281,7574,7548,26,5/1/2022,Lindsey Benton,Nevada,Patrickhaven,19830,0-10-971620-5
Black Tea,Dr. Pepper,Tea,709,6204,6003,201,12/17/2021,Julie Powell,Texas,Richardton,16230,1-5185-4963-2
Green Tea,Coca-Cola,Tea,557,7417,5036,2381,12/24/2020,James Russell,New Mexico,Ramirezstad,64611,0-11-582033-7
Green Tea,Dr. Pepper,Tea,501,4268,3897,371,11/28/2020,Heidi Richardson,Maryland,New Larry,77472,1-290-84904-8
Wine,Coca-Cola,Alcoholic,527,4549,7880,-3331,4/9/2023,Steven Brown,Oregon,West Adrianmouth,82036,0-458-84667-8
Energy Drink,Pepsi,Soft Drink,321,9934,7401,2533,3/13/2020,Christy Page,Pennsylvania,Nashmouth,48464,1-184-14086-3
Herbal Tea,Dr. Pepper,Tea,904,8285,1955,6330,10/31/2020,Jordan Rodriguez,Oregon,Catherinechester,54051,0-316-36992-6
Energy Drink,Dr. Pepper,Soft Drink,296,3259,5923,-2664,10/1/2020,Ryan Cooke,Texas,Kathrynburgh,4379,0-14-833604-3
Beer,Dr. Pepper,Alcoholic,954,3608,6682,-3074,11/16/2022,Henry Haley,Hawaii,Brownbury,23980,1-65747-674-X
Wine,Pepsi,Alcoholic,540,6840,995,5845,9/5/2020,Andrea Munoz,Arizona,East Joshuaport,80676,1-84840-130-2
Wine,Coca-Cola,Alcoholic,131,9527,5983,3544,7/2/2021,Manuel Wilkinson,South Dakota,Debrafort,48566,0-299-73694-6
Beer,Pepsi,Alcoholic,741,4533,5915,-1382,5/11/2022,Nicole Lambert,Michigan,Smithberg,88053,1-60525-244-1
Wine,Pepsi,Alcoholic,626,3550,2691,859,10/29/2020,Sarah Thompson,Maine,Fischerburgh,50841,1-367-66669-4
Herbal Tea,Dr. Pepper,Tea,321,7085,4818,2267,7/12/2022,Jacob Ramirez,Idaho,Mathisburgh,39553,1-70113-798-4
Green Tea,Pepsi,Tea,856,4471,1241,3230,2/27/2020,Sarah Davis,New Mexico,Annaside,36683,0-466-34618-2
Green Tea,Dr. Pepper,Tea,501,1973,1687,286,4/27/2021,Bill Ryan,Connecticut,East Williamland,38939,0-655-63347-2
Beer,Dr. Pepper,Alcoholic,915,6238,1619,4619,4/16/2021,Alan Espinoza,Wyoming,North Dillonfurt,26458,1-07-587646-X
Vodka,Coca-Cola,Alcoholic,734,7236,6861,375,8/5/2020,Christine Duncan,South Dakota,Garciaville,31497,0-15-125927-5
Black Tea,Coca-Cola,Tea,186,6420,2452,3968,3/28/2023,Alicia Williams,Texas,East Amyland,32269,1-4155-9985-8
Cola,Pepsi,Soft Drink,716,2364,3492,-1128,6/14/2020,Mr. Gregory Kim,Arizona,Davisfort,28273,0-7512-6358-3
Cola,Dr. Pepper,Soft Drink,546,2071,1576,495,1/8/2022,Jeffrey Martinez,North Carolina,Lake Aaron,97313,1-112-33150-6
Energy Drink,Dr. Pepper,Soft Drink,114,1433,2354,-921,1/11/2020,Tyler Montgomery,Rhode Island,East Michael,26071,0-12-451261-5
Beer,Coca-Cola,Alcoholic,373,2948,7273,-4325,10/11/2022,Madison Mendez,Florida,Paulabury,5107,0-88976-570-7
Lemonade,Coca-Cola,Soft Drink,188,5960,2500,3460,5/28/2023,Erin Bentley,Oregon,Salazarville,67264,1-318-70643-2
Herbal Tea,Pepsi,Tea,269,2706,5442,-2736,4/14/2020,Eric Townsend,South Dakota,New Tammy,20026,0-7162-2661-8
Energy Drink,Coca-Cola,Soft Drink,519,9973,844,9129,7/27/2020,Brandon Anderson,New Hampshire,Harveyhaven,73095,1-226-73625-4
Beer,Coca-Cola,Alcoholic,944,4394,7174,-2780,7/24/2021,Jennifer Mason,North Dakota,Kelleyton,4388,0-06-914139-8
Energy Drink,Pepsi,Soft Drink,203,2564,6083,-3519,5/28/2021,Jeff Perez,North Dakota,Leeview,39721,1-9801-6480-0
Herbal Tea,Dr. Pepper,Tea,158,3640,5631,-1991,7/3/2023,Julie Martinez,Colorado,Lake Rebecca,82803,0-264-99291-1
Vodka,Coca-Cola,Alcoholic,171,8154,6636,1518,3/27/2020,Teresa Mathews,Wisconsin,Port Ellenton,68009,0-7328-3472-4
Black Tea,Coca-Cola,Tea,435,1270,5793,-4523,3/10/2023,Andrew Cochran,Louisiana,Meghanville,32093,1-316-52007-2
Beer,Dr. Pepper,Alcoholic,316,6739,4069,2670,6/13/2021,Wanda Johnson,Montana,Velezbury,67247,1-06-909589-3
Green Tea,Pepsi,Tea,515,9991,6734,3257,11/20/2022,Brenda Hart,Indiana,Gibsonberg,66625,1-149-53073-1
Energy Drink,Dr. Pepper,Soft Drink,643,7726,3798,3928,1/30/2023,Molly Griffin,North Carolina,Coleburgh,42256,1-4311-1111-2
Cola,Pepsi,Soft Drink,441,1414,514,900,4/26/2022,Jeffery Rojas,Georgia,Shawnbury,19073,0-564-13164-4
Black Tea,Pepsi,Tea,232,8894,4678,4216,7/28/2020,Amy Gonzalez,Virginia,Harveyton,70214,0-682-74659-2
Coffee,Pepsi,Coffee,167,1766,7329,-5563,6/12/2020,Dalton Bush,Washington,Jodimouth,73187,0-275-69252-3
Energy Drink,Coca-Cola,Soft Drink,736,1314,4338,-3024,2/23/2021,Madison Rosales,Illinois,New Cynthiatown,48318,1-353-30030-7
Wine,Coca-Cola,Alcoholic,912,3488,3957,-469,5/28/2023,Steven Jones,Arizona,Kaitlynton,87165,1-82235-781-0
Wine,Coca-Cola,Alcoholic,181,9413,1997,7416,3/17/2023,Joshua Stokes,Indiana,East Shauntown,63671,0-05-045403-X
Black Tea,Coca-Cola,Tea,827,6779,1217,5562,4/10/2022,Chad Reyes,New York,Port Donnatown,6113,1-08-016094-9
Vodka,Coca-Cola,Alcoholic,553,7718,3421,4297,9/20/2022,Joseph Adams,Illinois,Jonathanborough,97422,1-901287-31-9
Wine,Dr. Pepper,Alcoholic,545,1967,6554,-4587,1/10/2022,Dawn Melton,Oregon,East Lynn,72142,1-5233-9478-1
Herbal Tea,Pepsi,Tea,135,1642,4619,-2977,9/12/2021,James Adams,New Hampshire,Alexanderberg,40589,1-63769-184-X
Black Tea,Pepsi,Tea,891,9282,6383,2899,1/11/2022,Sarah Perez,Rhode Island,Michaelside,76315,0-684-41426-0
Vodka,Dr. Pepper,Alcoholic,184,4326,3221,1105,5/10/2023,Paul Pham,Louisiana,Ryanland,8531,0-585-28452-0
Black Tea,Coca-Cola,Tea,329,7934,3945,3989,3/8/2021,Catherine Keller,Pennsylvania,Lake Adam,71660,0-7812-5438-8
Coffee,Coca-Cola,Coffee,529,8446,3180,5266,2/23/2022,Judith Coleman,Texas,Alantown,79550,1-86939-947-1
Green Tea,Dr. Pepper,Tea,723,8932,1084,7848,2/17/2021,Matthew Preston,Alabama,Patriciaton,99761,1-80397-673-X
Black Tea,Pepsi,Tea,349,6439,816,5623,4/22/2021,Justin Yoder,Arkansas,Duranhaven,19800,1-272-58535-2
Herbal Tea,Dr. Pepper,Tea,254,8574,4024,4550,8/25/2021,Mrs. Wendy Gardner,Colorado,Perezhaven,57687,1-60880-577-8
Black Tea,Coca-Cola,Tea,427,9753,5676,4077,5/16/2023,Morgan Jenkins,Utah,West Alfredtown,19914,0-360-57090-9
Wine,Pepsi,Alcoholic,683,1568,560,1008,6/11/2022,Vincent Turner,Arkansas,North Kennethmouth,32519,0-85887-564-0
Energy Drink,Coca-Cola,Soft Drink,913,9507,1078,8429,1/26/2021,Matthew Byrd,New Hampshire,Port Ashleyland,71608,1-7350251-5-1
Energy Drink,Coca-Cola,Soft Drink,866,7044,3415,3629,7/30/2020,Jennifer Cunningham,Nevada,West Angela,29179,0-371-14069-2
Vodka,Coca-Cola,Alcoholic,156,7270,7615,-345,3/17/2022,Anna George,Rhode Island,Wardton,39399,1-67872-738-5
Vodka,Coca-Cola,Alcoholic,391,5381,7758,-2377,1/11/2022,Michael Washington,New York,Thomasside,80004,0-507-24994-1
Coffee,Pepsi,Coffee,194,9293,6230,3063,9/16/2020,Tammy Scott,Arizona,East Gabrielfurt,36629,1-63359-880-2
Herbal Tea,Coca-Cola,Tea,760,8378,6257,2121,6/16/2022,Matthew Perry,Florida,Hunterburgh,32667,1-9870-3120-2
Cola,Pepsi,Soft Drink,782,8136,1098,7038,3/7/2023,David Salazar,Louisiana,East Jillburgh,95807,0-389-04927-1
Beer,Dr. Pepper,Alcoholic,889,2546,6273,-3727,5/28/2021,Michelle Wolf,Wyoming,South Chadborough,22779,1-5013-2152-8
Coffee,Pepsi,Coffee,172,7821,2591,5230,8/22/2020,Margaret Trujillo,Tennessee,North Scottburgh,91449,1-345-90838-5
Coffee,Dr. Pepper,Coffee,126,4420,614,3806,2/4/2022,Zachary Morton,Nevada,New Billymouth,5476,1-186-48147-1
Coffee,Dr. Pepper,Coffee,517,1685,1400,285,1/30/2022,Dr. Eric Jimenez,Rhode Island,Johnsonshire,42159,0-265-05143-6
Herbal Tea,Pepsi,Tea,183,5849,1349,4500,11/28/2022,Steve Stewart,Mississippi,Clarkfurt,3330,0-7020-2728-6
Coffee,Pepsi,Coffee,833,2665,5465,-2800,7/31/2020,Thomas Mckee,Georgia,West Susan,70632,0-8165-1136-5
Wine,Dr. Pepper,Alcoholic,939,7184,972,6212,2/10/2022,Zachary Dickson Jr.,Texas,East Jamestown,10821,1-67440-760-2
Lemonade,Coca-Cola,Soft Drink,347,9742,7466,2276,2/13/2021,Nicole Miller MD,Colorado,South Jacob,67254,0-585-90452-9
Cola,Coca-Cola,Soft Drink,928,8893,851,8042,9/9/2021,Donna Thompson,New York,Hornfort,51049,1-177-88144-6
Beer,Dr. Pepper,Alcoholic,636,8510,1504,7006,1/4/2020,Douglas Johnson,Iowa,Myersfort,16589,1-4298-2224-4
Black Tea,Pepsi,Tea,259,6997,5274,1723,4/16/2023,Taylor Coleman,Minnesota,Lake David,50027,0-18-233701-4
Coffee,Coca-Cola,Coffee,944,6308,6450,-142,5/11/2020,Samuel Monroe,Minnesota,Port Amber,35374,1-396-66494-7
Cola,Dr. Pepper,Soft Drink,630,5378,2045,3333,1/30/2023,Tiffany Rodriguez,Hawaii,Melissamouth,86210,1-69661-506-2
Lemonade,Coca-Cola,Soft Drink,179,4058,4842,-784,3/27/2020,Anthony Simon,Connecticut,Port Anitashire,70731,1-223-58538-7
Black Tea,Coca-Cola,Tea,941,6236,6203,33,11/25/2020,Aaron Goodman,South Dakota,East Wyattstad,97350,0-227-43443-9
Black Tea,Pepsi,Tea,118,1459,6660,-5201,10/24/2021,Virginia Mccormick,South Dakota,Garybury,65619,1-876576-47-2
Beer,Coca-Cola,Alcoholic,991,7185,5520,1665,4/25/2020,Kristi Cox,Massachusetts,South Elizabethstad,8602,0-03-312031-5
Beer,Dr. Pepper,Alcoholic,170,2075,5014,-2939,9/3/2021,Victoria Martin,New Jersey,Sharonport,97429,1-235-08766-2
Beer,Pepsi,Alcoholic,373,9736,6211,3525,2/10/2022,Dustin Ward,Washington,Shepardton,66163,1-75548-710-X
Energy Drink,Pepsi,Soft Drink,628,4911,7418,-2507,7/2/2023,Debbie Zimmerman,Florida,Joshuahaven,19779,1-291-34431-4
Vodka,Coca-Cola,Alcoholic,824,1086,5119,-4033,6/12/2023,Felicia Jones,Connecticut,Smithstad,61614,0-7784-3406-0
Green Tea,Coca-Cola,Tea,382,3128,4648,-1520,1/4/2021,Jason Cisneros,New Hampshire,Nicholasstad,23454,0-425-38534-5
Lemonade,Pepsi,Soft Drink,296,3551,2607,944,10/20/2021,Clinton Castillo,North Dakota,Phillipstown,6083,0-339-81776-3
Cola,Pepsi,Soft Drink,561,4787,3546,1241,7/12/2023,Theresa Hernandez,Colorado,Sparksmouth,7148,0-248-41144-6
Vodka,Dr. Pepper,Alcoholic,727,3006,1018,1988,8/23/2021,William Jackson,Mississippi,Buchananchester,68046,0-8046-2195-0
Wine,Coca-Cola,Alcoholic,415,6506,4388,2118,9/27/2022,Lee Glenn,New York,East Robinborough,28003,0-272-30044-6
Coffee,Dr. Pepper,Coffee,743,7845,5987,1858,1/6/2022,Bradley Jackson,Michigan,Stevensberg,48779,1-08-988339-0
Vodka,Coca-Cola,Alcoholic,404,3700,2326,1374,12/23/2021,James Whitaker,Connecticut,South Garychester,12656,1-317-47592-5
Energy Drink,Coca-Cola,Soft Drink,896,5211,2833,2378,5/18/2022,Michael Green,South Carolina,Mooreton,37536,0-85862-943-7
Wine,Coca-Cola,Alcoholic,941,4770,2618,2152,8/4/2021,Valerie Barry,Mississippi,Brendaburgh,45725,0-421-45589-6
Herbal Tea,Coca-Cola,Tea,152,4934,3527,1407,10/5/2020,Adam Anderson,Mississippi,Lake Kurtshire,1250,1-217-79123-X
